Municipality name,party_name,Votes
Apeldoorn,Piratenpartij,180
Apeldoorn,NIDA,147
Apeldoorn,JONG,138
Apeldoorn,"Blanco (Zeven, A.J.L.B.)",123
Apeldoorn,Lijst Henk Krol,105
Apeldoorn,OPRECHT,80
Apeldoorn,JEZUS LEEFT,67
Apeldoorn,NLBeter,65
Apeldoorn,LP (Libertaire Partij),50
Apeldoorn,U-Buntu Connected Front,8
Arnhem,D66,17412
Arnhem,VVD,15338
Arnhem,PVV (Partij voor de Vrijheid),8450
Arnhem,GROENLINKS,8234
Arnhem,Partij van de Arbeid (P.v.d.A.),5832
Arnhem,Partij voor de Dieren,5753
Arnhem,SP (Socialistische Partij),5677
Arnhem,Forum voor Democratie,4231
Arnhem,CDA,4190
Arnhem,DENK,3232
Arnhem,Volt,3193
Arnhem,ChristenUnie,2035
Arnhem,JA21,1436
Arnhem,BIJ1,1298
Arnhem,50PLUS,754
Arnhem,NIDA,414
Arnhem,CODE ORANJE,377
Arnhem,Piratenpartij,337
Arnhem,Splinter,335
Arnhem,Staatkundig Gereformeerde Partij (SGP),251
Arnhem,BBB,220
Arnhem,JONG,149
Arnhem,"Blanco (Zeven, A.J.L.B.)",140
Arnhem,Trots op Nederland (TROTS),118
Arnhem,NLBeter,77
Arnhem,Lijst Henk Krol,76
Arnhem,LP (Libertaire Partij),71
Arnhem,OPRECHT,53
Arnhem,JEZUS LEEFT,50
Arnhem,U-Buntu Connected Front,18
Assen,VVD,7842
Assen,D66,6628
Assen,Partij van de Arbeid (P.v.d.A.),3929
Assen,PVV (Partij voor de Vrijheid),3725
Assen,CDA,3579
Assen,SP (Socialistische Partij),3446
Assen,ChristenUnie,3399
Assen,GROENLINKS,2324
Assen,Forum voor Democratie,2159
Assen,Partij voor de Dieren,1546
Assen,JA21,804
Assen,Volt,709
Assen,50PLUS,433
Assen,BBB,378
Assen,Staatkundig Gereformeerde Partij (SGP),310
Assen,DENK,220
Assen,CODE ORANJE,156
Assen,Splinter,151
Assen,BIJ1,140
Assen,Trots op Nederland (TROTS),109
Assen,Piratenpartij,76
Assen,OPRECHT,70
Assen,NIDA,60
Assen,JONG,59
Assen,"Blanco (Zeven, A.J.L.B.)",56
Assen,NLBeter,38
Assen,JEZUS LEEFT,34
Assen,Lijst Henk Krol,29
Assen,LP (Libertaire Partij),26
Assen,Modern Nederland,10
Asten,VVD,3159
Asten,CDA,1789
Asten,D66,1334
Asten,PVV (Partij voor de Vrijheid),1186
Asten,SP (Socialistische Partij),786
Asten,Forum voor Democratie,486
Asten,Partij van de Arbeid (P.v.d.A.),360
Asten,GROENLINKS,283
Asten,Partij voor de Dieren,275
Asten,JA21,271
Asten,BBB,260
Asten,Volt,202
Asten,50PLUS,144
Asten,ChristenUnie,50
Asten,DENK,35
Asten,CODE ORANJE,34
Asten,Splinter,27
Asten,Trots op Nederland (TROTS),20
Asten,NLBeter,13
Asten,Staatkundig Gereformeerde Partij (SGP),13
Asten,JONG,12
Asten,DE FEESTPARTIJ (DFP),11
Asten,"Blanco (Zeven, A.J.L.B.)",10
Asten,BIJ1,9
Asten,Piratenpartij,9
Asten,Lijst Henk Krol,8
Asten,LP (Libertaire Partij),7
Asten,NIDA,6
Asten,JEZUS LEEFT,1
Asten,OPRECHT,0
Asten,Partij van de Eenheid,0
Baarle-Nassau,VVD,1107
Baarle-Nassau,CDA,714
Baarle-Nassau,PVV (Partij voor de Vrijheid),643
Baarle-Nassau,D66,404
Baarle-Nassau,SP (Socialistische Partij),284
Baarle-Nassau,Forum voor Democratie,243
Baarle-Nassau,Partij van de Arbeid (P.v.d.A.),155
Baarle-Nassau,JA21,132
Baarle-Nassau,Partij voor de Dieren,132
Baarle-Nassau,BBB,108
Baarle-Nassau,GROENLINKS,98
Baarle-Nassau,50PLUS,71
Baarle-Nassau,Volt,37
Baarle-Nassau,ChristenUnie,24
Baarle-Nassau,CODE ORANJE,13
Baarle-Nassau,Splinter,13
Baarle-Nassau,DE FEESTPARTIJ (DFP),8
Baarle-Nassau,NLBeter,7
Baarle-Nassau,"Blanco (Zeven, A.J.L.B.)",5
Baarle-Nassau,DENK,5
Baarle-Nassau,JONG,5
Baarle-Nassau,Piratenpartij,5
Baarle-Nassau,Staatkundig Gereformeerde Partij (SGP),5
Baarle-Nassau,BIJ1,4
Baarle-Nassau,Lijst Henk Krol,3
Baarle-Nassau,OPRECHT,1
Baarle-Nassau,U-Buntu Connected Front,1
Baarle-Nassau,JEZUS LEEFT,0
Baarle-Nassau,LP (Libertaire Partij),0
Baarle-Nassau,NIDA,0
Baarle-Nassau,Partij van de Eenheid,0
Baarn,VVD,3994
Baarn,D66,2927
Baarn,CDA,1426
Baarn,PVV (Partij voor de Vrijheid),1302
Baarn,GROENLINKS,898
Baarn,Partij van de Arbeid (P.v.d.A.),814
Baarn,Partij voor de Dieren,764
Baarn,Forum voor Democratie,684
Baarn,SP (Socialistische Partij),630
Baarn,ChristenUnie,587
Baarn,Volt,458
Baarn,JA21,433
Baarn,DENK,217
Baarn,Staatkundig Gereformeerde Partij (SGP),143
Baarn,50PLUS,138
Baarn,BIJ1,54
Baarn,Splinter,53
Baarn,CODE ORANJE,44
Baarn,BBB,39
Baarn,Piratenpartij,32
Baarn,NLBeter,26
Baarn,NIDA,22
Baarn,Trots op Nederland (TROTS),22
Baarn,LP (Libertaire Partij),19
Baarn,JONG,18
Baarn,Lijst Henk Krol,14
Baarn,DE FEESTPARTIJ (DFP),8
Baarn,OPRECHT,7
Baarn,U-Buntu Connected Front,6
Baarn,JEZUS LEEFT,4
Baarn,Vrij en Sociaal Nederland,2
Barendrecht,VVD,7638
Barendrecht,D66,4052
Barendrecht,PVV (Partij voor de Vrijheid),3496
Barendrecht,CDA,2410
Barendrecht,Forum voor Democratie,1582
Barendrecht,JA21,1418
Barendrecht,SP (Socialistische Partij),1378
Barendrecht,Staatkundig Gereformeerde Partij (SGP),1254
Barendrecht,Partij van de Arbeid (P.v.d.A.),1245
Barendrecht,ChristenUnie,1206
Barendrecht,GROENLINKS,925
Barendrecht,Partij voor de Dieren,827
Barendrecht,DENK,644
Barendrecht,Volt,436
Barendrecht,50PLUS,364
Barendrecht,NIDA,219
Barendrecht,BIJ1,203
Barendrecht,CODE ORANJE,118
Barendrecht,Splinter,78
Barendrecht,Piratenpartij,45
Barendrecht,BBB,43
Barendrecht,JONG,30
Barendrecht,NLBeter,29
Barendrecht,"Blanco (Zeven, A.J.L.B.)",25
Barendrecht,Lijst Henk Krol,23
Barendrecht,JEZUS LEEFT,13
Barendrecht,LP (Libertaire Partij),10
Barendrecht,OPRECHT,7
Barendrecht,Wij zijn Nederland,6
Barendrecht,Modern Nederland,3
Barneveld,Staatkundig Gereformeerde Partij (SGP),8675
Barneveld,VVD,6863
Barneveld,CDA,5207
Barneveld,ChristenUnie,4231
Barneveld,PVV (Partij voor de Vrijheid),3011
Barneveld,D66,2292
Barneveld,Forum voor Democratie,2185
Barneveld,JA21,802
Barneveld,SP (Socialistische Partij),788
Barneveld,Partij van de Arbeid (P.v.d.A.),607
Barneveld,GROENLINKS,591
Barneveld,Partij voor de Dieren,499
Barneveld,BBB,497
Barneveld,DENK,351
Barneveld,Volt,302
Barneveld,50PLUS,187
Barneveld,CODE ORANJE,96
Barneveld,BIJ1,48
Barneveld,OPRECHT,42
Barneveld,Trots op Nederland (TROTS),42
Barneveld,JONG,41
Barneveld,JEZUS LEEFT,40
Barneveld,Splinter,40
Barneveld,Piratenpartij,38
Barneveld,NIDA,33
Barneveld,"Blanco (Zeven, A.J.L.B.)",19
Barneveld,Lijst Henk Krol,17
Barneveld,NLBeter,13
